type,formalTyping,code,type1,type2
PERATURAN MENTERI NEGARA PERENCANAAN PEMBANGUNAN NASIONAL/ KEPALA BADAN PERENCANAAN PEMBANGUNAN NASIONAL,Peraturan Menteri Perencanaan Pembangunan Nasional/ Kepala Badan Perencanaan Pembangunan Nasional Republik Indonesia,Permen_Bappenas,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BALANGAN,Peraturan Daerah Kabupaten Balangan,Perkab_Balangan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Balangan
PERATURAN BADAN NASIONAL PENANGGULANGAN TERORISME REPUBLIK INDONESIA,Peraturan Badan Nasional Penanggulangan Terorisme Republik Indonesia,Peraturan_BNPT,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PERBUNGAN REPUBLIK INDONESIA,Peraturan Menteri Perhubungan Republik Indonesia,Permen_Hub,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN PACITAN,Peraturan Daerah Kabupaten Pacitan,Perkab_Pacitan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pacitan
PERATURAN PRESIDEN,Peraturan Presiden Republik Indonesia,Perpres,PresidentialRegulation,Lembaran_Negara
PERATURANMENTERI PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI REPUBLIK INDONESIA,Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia,Permen_PANRB,MinisterialRegulation,Berita_Negara
PERATURAN ARSIP NASIONAL REPUBLIK INDONESIA,Peraturan Arsip Nasional Republik Indonesia,Peraturan_ANRI,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA,Peraturan Menteri Pertanian Republik Indonesia,Permen_Tan,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA BANDUNG,Peraturan Daerah Kota Bandung,Perkot_Bandung,MunicipalityRegulation,Lembaran_Daerah_Kota_Bandung
PERATURAN DAERAH KOTA TANJUNGPINANG,Peraturan Daerah Kota Tanjung Pinang,Perkot_Tanjung_Pinang,MunicipalityRegulation,Lembaran_Daerah_Kota_Tanjung_Pinang
PERATURAN LEMBAGA ADMINISTRASI NEGARA REPUBLIK INDONESIA,Peraturan Lembaga Administrasi Negara Republik Indonesia,Peraturan_LAN,AgencyRegulation,Berita_Negara
PERATURAN PUSAT PELAPORAN DAN ANALISIS TRANSAKSI KEUANGAN,Peraturan Pusat Pelaporan Dan Analisis Transaksi Keuangan Republik Indonesia,Peraturan_PPATK,AgencyRegulation,Berita_Negara
PERATURAN MENTERI ENERGI DAN SUMBER DAYA MINERAL,Peraturan Menteri Energi Dan Sumber Daya Mineral Republik Indonesia,Permen_ESDM,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN REPUBLIK INDONESIA SELAKU KETUA PENGARAH TIM KOORDINASI NASIONAL PENGELOLAAN EKOSISTEM MANGROVE,Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
PERATURAN PEMERINTAHAN,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN OMBUDSMAN REPUBLIK INDONESIA,Peraturan Sekretaris Jenderal Ombudsman Republik Indonesia,Peraturan_Ombudsman,AgencyRegulation,Berita_Negara
PERATURAN PRESIDEN REPUBLIK INDONESIA,Peraturan Presiden Republik Indonesia,Perpres,PresidentialRegulation,Lembaran_Negara
PERATURAN MENTERI RISET DAN TEKNOLOGI REPUBLIK INDONESIA,Peraturan Menteri Riset Dan Teknologi Republik Indonesia,Permen_Ristek,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BOYOLALI,Peraturan Daerah Kabupaten Boyolali,Perkab_Boyolali,RegencyRegulation,Lembaran_Daerah_Kabupaten_Boyolali
PERATURAN DAERAH KOTA MADIUN,Peraturan Daerah Kota Madiun,Perkot_Madiun,MunicipalityRegulation,Lembaran_Daerah_Kota_Madiun
